,,,,,,,,,,,,,,,,,,,,
,Course,Player,Time (sec),Division,Date,Event,Video proof,Filmer,Camera,Shoes,+/- (sec),+/- (%),Points,Course ID,Player ID,Run ID,Country,🏴,new CR?,former CR holder?
,BFI,Aidan Goddard,8.31,M,2022-06-29,,https://youtube.com/shorts/_xq6mU-J-Gc,Ryan Ford,,,0.00,0.00%,100.00,1,1,1,USA,🇺🇸,✅,
,g,t,,,,,,Ryan Ford,,,,,,,,,,,,
,p,j,,,,,,Ryan Ford,,,,,,,,,,,,
,l,t,,,,,,Ryan Ford,,,,,,,,,,,,
,p,t,,,,,,Ryan Ford,,,,,,,,,,,,
,MILLENNIUM,Cosmo Palmer,13.49,M,,,,Ryan Ford,,,,,,,,,,,,
,MILLENNIUM,Jera Boyd,13.50,M,,,,,,,,,,,,,,,,
,MILLENNIUM,Ryan Ford,14.14,M,,,,Taylor Carpenter,,,,,,,,,,,,
,MILLENNIUM,Jared Komatz,25.66,F,,,,Ryan Ford,,,,,,,,,,,,
,MILLENNIUM,Mel McQueen,33.80,F,,,,Ryan Ford,,,,,,,,,,,,
,MILLENNIUM,Amy Jepsen,40.48,F,,,https://www.instagram.com/p/C_Jiypaxxt9/,Ryan Ford,,,,,,,,,,,,
,HIGHLAND,Kaden Lebsack,9.06,M,,,,Ryan Ford,,,,,,,,,,,,
,HIGHLAND,Jera Boyd,9.35,M,,,,Ryan Ford,,,,,,,,,,,,
,HIGHLAND,Seth Wang,9.46,M,,,,Ryan Ford,,,,,,,,,,,,
,HIGHLAND,Bear Schneider,9.75,M,,,,Ryan Ford,,,,,,,,,,,,
,HIGHLAND,Max Boice,10.17,M,,,,Ryan Ford,,,,,,,,,,,,
,HIGHLAND,Finn Squires,10.33,M,,,,Ryan Ford,,,,,,,,,,,,
,HIGHLAND,Max Feinberg,10.62,M,,,,Ryan Ford,,,,,,,,,,,,
,HIGHLAND,Cosmo Palmer,11.67,M,,,,Ryan Ford,,,,,,,,,,,,
,HIGHLAND,John Lunsford,11.70,M,,,,Ryan Ford,,,,,,,,,,,,
,HIGHLAND,Ryan Ford,14.76,M,,,,Ryan Ford,,,,,,,,,,,,
,HIGHLAND,Peri,22.98,M,,,,Ryan Ford,,,,,,,,,,,,
,HIGHLAND,Bekah Jackson,10.80,F,,,https://youtube.com/shorts/8zW_PhBGvTY,Ryan Ford,,,,,,,,,,,,
,HIGHLAND,Taylor Carpenter,12.84,F,,,,Ryan Ford,,,,,,,,,,,,
,HIGHLAND,Jared Komatz,25.03,F,,,,Ryan Ford,,,,,,,,,,,,
,HIGHLAND,Mel McQueen,37.31,F,,,,Ryan Ford,,,,,,,,,,,,
,HIGHLAND,Amy Jepsen,41.43,F,,,https://www.instagram.com/p/DAd3thGvbCU/,Ryan Ford,,,,,,,,,,,,
,CPRC 1,Joey Jepsen,9.87,M,,,https://youtube.com/shorts/-gHmdsh_nsw,Ryan Ford,,,,,,,,,,,,
,CPRC 1,Taylor Carpenter,13.17,F,,,https://youtube.com/shorts/3xfv_LCQV4A,Ryan Ford,,,,,,,,,,,,
,CPRC 1,Bekah Jackson,13.27,F,,,,Ryan Ford,,,,,,,,,,,,
,CPRC 1,Kira Immordino,20.11,F,,,,Ryan Ford,,,,,,,,,,,,
,CPRC 1,Jared Komatz,21.52,F,,,,Ryan Ford,,,,,,,,,,,,
,CPRC 1,Amy Jepsen,30.69,F,,,https://www.instagram.com/p/DMi4BHqvltM/,Ryan Ford,,,,,,,,,,,,
,CPRC 1,Bella Martino,35.38,F,,,,Joey Jepsen,,,,,,,,,,,,
,RINO,Kaden Lebsack,11.29,M,,,https://youtube.com/shorts/DF2F_QgZU4Y,Ryan Ford,,,,,,,,,,,,
,RINO,Caleb Bergstrom,11.42,M,,,,Ryan Ford,,,,,,,,,,,,
,RINO,Joey Jepsen,11.67,M,,,,Ryan Ford,,,,,,,,,,,,
,RINO,Cosmo Palmer,11.69,M,,,,,,,,,,,,,,,,
,RINO,Austin Lutz,11.73,M,,,https://www.instagram.com/p/DS0phqwEa5W/,,,,,,,,,,,,,
,RINO,Max Feinberg,12.04,M,,,,Ryan Ford,,,,,,,,,,,,
,RINO,John Lunsford,13.67,M,,,,Ryan Ford,,,,,,,,,,,,
,RINO,Ryan Ford,15.33,M,,,,Taylor Carpenter,,,,,,,,,,,,
,RINO,Pete Peterson,16.16,M,,,,,,,,,,,,,,,,
,RINO,Kyle Sherk,17.64,M,,,,,,,,,,,,,,,,
,RINO,Bekah Jackson,13.01,F,,,https://youtube.com/shorts/CQUwqQm1_1A,Ryan Ford,,,,,,,,,,,,
,RINO,Taylor Carpenter,13.47,F,,,,Ryan Ford,,,,,,,,,,,,
,RINO,Emily Stout,18.70,F,,,,,,,,,,,,,,,,
,RINO,Lavender Lutz,18.72,F,,,https://www.instagram.com/p/DHrc6wZPzTs/,,,,,,,,,,,,,
,RINO,Jared Komatz,19.83,F,,,,Ryan Ford,,,,,,,,,,,,
,RINO,Mel McQueen,20.53,F,,,,Ryan Ford,,,,,,,,,,,,
,RINO,Lana Cherney,22.77,F,,,,,,,,,,,,,,,,
,RINO,Vanessa Sherk,27.00,F,,,https://www.instagram.com/p/DHhhnhXMNTQ/,,,,,,,,,,,,,
,RINO,Amy Jepsen,27.58,F,,,https://www.instagram.com/p/DGwxcNvNK49/,,,,,,,,,,,,,
,RINO,Autumn Goodridge,29.58,F,,,https://www.instagram.com/p/DGw8VKNMo6T/,,,,,,,,,,,,,
,HILL,Van Beyer,16.21,M,,,,,,,,,,,,,,,,
,HILL,John Lunsford,18.46,M,,,,Ryan Ford,,,,,,,,,,,,
,HILL,Kyle Sherk,28.81,M,,,,,,,,,,,,,,,,
,HILL,Bekah Jackson,19.48,F,,,https://youtube.com/shorts/ya54KIIWZwE,Ryan Ford,,,,,,,,,,,,
,HILL,Vanessa Sherk,51.18,F,,,https://www.instagram.com/p/DMV4Sr0vgri/,Ryan Ford,,,,,,,,,,,,
,IRON WORKS,Tomasz Dąbrowski,10.46,M,,,,,,,,,,,,,,,,
,IRON WORKS,Bekah Jackson,10.55,M,,,,Ryan Ford,,,,,,,,,,,,
,IRON WORKS,Jess Chan,11.23,M,,,,Ryan Ford,,,,,,,,,,,,
,CHAPU 1,Leon van der Zouwen,15.04,M,,,https://youtube.com/shorts/XMSIzE1EuWQ,Ryan Ford,,,,,,,,,,,,
,CHAPU 1,Ariel Vasquez Perez,16.13,M,,,,Ryan Ford,,,,,,,,,,,,
,CHAPU 1,Andrés Gutzen,16.97,M,,,,Ryan Ford,,,,,,,,,,,,
,CHAPU 1,Samuel Navarro Rivera,19.42,M,,,,Ryan Ford,,,,,,,,,,,,
,CHAPU 1,Ryan Ford,23.37,M,,,,Taylor Carpenter,,,,,,,,,,,,
,CHAPU 1,Luciana San Martín,32.07,F,,,,Ryan Ford,,,,,,,,,,,,
,CHAPU 2,Leon van der Zouwen,10.25,M,,,https://youtube.com/shorts/tmXd_mgdMoQ,Ryan Ford,,,,,,,,,,,,
,CHAPU 2,Ryan Ford,12.46,M,,,,Taylor Carpenter,,,,,,,,,,,,
,BENEFICENCIA,Nate Rolon,17.37,M,,,,Ryan Ford,,,,,,,,,,,,
,BENEFICENCIA,Kevin,20.88,M,,,,Ryan Ford,,,,,,,,,,,,
,BENEFICENCIA,Diego,21.12,M,,,,Ryan Ford,,,,,,,,,,,,
,BENEFICENCIA,Jeanpi,21.68,M,,,,Ryan Ford,,,,,,,,,,,,
,BENEFICENCIA,Juan Candelario,21.79,M,,,,Ryan Ford,,,,,,,,,,,,
,BENEFICENCIA,Joel Rivera,22.58,M,,,,Ryan Ford,,,,,,,,,,,,
,BENEFICENCIA,Ryan Ford,25.27,M,,,,Taylor Carpenter,,,,,,,,,,,,
,BENEFICENCIA,Gabriel,28.21,M,,,,Ryan Ford,,,,,,,,,,,,
,BENEFICENCIA,Thalia Rivera,27.85,F,,,,Ryan Ford,,,,,,,,,,,,
,DAIRY,Alex Shackleton,9.96,F,,,https://youtube.com/shorts/niC8PAoiwdQ,Ryan Ford,,,,,,,,,,,,
,DAIRY,Scott Bringe,10.97,F,,,,Ryan Ford,,,,,,,,,,,,
,DAIRY,Nicholas Van Swol,16.25,F,,,,Ryan Ford,,,,,,,,,,,,
,DAIRY,Jared Ching,18.88,M,,,,Ryan Ford,,,,,,,,,,,,
,DAIRY,Di Li,47.93,M,,,,Ryan Ford,,,,,,,,,,,,
,DAIRY,Jane Bellousov,16.12,F,,,,Ryan Ford,,,,,,,,,,,,
,NEZAHUALCÓYOTL,Leon van der Zouwen,11.80,M,,,https://youtube.com/shorts/jykJ-UKZlm8,Ryan Ford,,,,,,,,,,,,
,NEZAHUALCÓYOTL,César Marcos,12.17,M,,,https://www.instagram.com/p/DIC1ZZLtpC4/,Ryan Ford,,,,,,,,,,,,
,NEZAHUALCÓYOTL,Fabian Castany,14.74,M,,,,Ryan Ford,,,,,,,,,,,,
,NEZAHUALCÓYOTL,Ryan Ford,17.94,F,,,,Taylor Carpenter,,,,,,,,,,,,
,NEZAHUALCÓYOTL,Norberto Jiménez,20.86,F,,,,Ryan Ford,,,,,,,,,,,,
,NEZAHUALCÓYOTL,Christian Greene,21.56,F,,,,Ryan Ford,,,,,,,,,,,,
,NEZAHUALCÓYOTL,Taylor Carpenter,17.70,F,,,,Ryan Ford,,,,,,,,,,,,
,NEZAHUALCÓYOTL,Emilia Francois,25.90,F,,,,Leon van der Zouwen,,,,,,,,,,,,
,AURARIA 1,Austin Lutz,8.36,M,,,,,,,,,,,,,,,,
,AURARIA 1,Olof Wood,8.46,M,,,https://youtube.com/shorts/m32IxprVckw,Ryan Ford,,,,,,,,,,,,
,AURARIA 1,Caleb Bergstrom,8.74,M,,,,Ryan Ford,,,,,,,,,,,,
,AURARIA 1,Kaden Lebsack,9.57,M,,,,Ryan Ford,,,,,,,,,,,,
,AURARIA 1,Max Feinberg,10.33,M,,,,Ryan Ford,,,,,,,,,,,,
,AURARIA 1,Forest Fleet,10.36,M,,,,,,,,,,,,,,,,
,AURARIA 1,John Lunsford,10.71,M,,,,Ryan Ford,,,,,,,,,,,,
,AURARIA 1,Ryan Ford,11.16,M,,,,Taylor Carpenter,,,,,,,,,,,,
,AURARIA 1,Felix de Rosa,11.46,M,,,,Ryan Ford,,,,,,,,,,,,
,AURARIA 1,Kyle Sherk,13.51,M,,,,,,,,,,,,,,,,
,AURARIA 1,Nakita Harding,14.73,F,,,,Ryan Ford,,,,,,,,,,,,
,AURARIA 1,Jared Komatz,16.34,F,,,,Ryan Ford,,,,,,,,,,,,
,AURARIA 1,Vanessa Sherk,20.35,F,,,,,,,,,,,,,,,,
,AURARIA 1,Lana Cherney,20.39,F,,,,,,,,,,,,,,,,
,AURARIA 1,Lavender Lutz,20.44,F,,,,,,,,,,,,,,,,
,AURARIA 1,Amy Jepsen,21.35,F,,,,Ryan Ford,,,,,,,,,,,,
,CUSCATLÁN 1,Leon van der Zouwen,9.42,M,,,,,,,,,,,,,,,,
,TIVOLI,Ryan Ford,10.92,M,,,,Taylor Carpenter,,,,,,,,,,,,
,TIVOLI,Taylor Carpenter,11.63,F,,,https://youtube.com/shorts/dQEPsjsyRTU,Ryan Ford,,,,,,,,,,,,
,TIVOLI,Amy Jepsen,33.65,F,,,https://www.instagram.com/p/DKNts92Ny0D/,Ryan Ford,,,,,,,,,,,,
,KAOS,Leon van der Zouwen,14.08,M,,,,Emilia,,,,,,,,,,,,
,KAOS,Pedro Velus,15.36,M,,,,,,,,,,,,,,,,
,KAOS,Matt Jang,18.35,M,,,https://www.instagram.com/p/DLhSfJ7No2P/,,,,,,,,,,,,,
,KAOS,Emilia Francois,25.54,F,,,,Leon van der Zouwen,,,,,,,,,,,,
,CORDATA,Rafe Kelley,17.25,M,,,https://youtube.com/shorts/AyYI-RsYo9o,Ryan Ford,,,,,,,,,,,,
,CORDATA,Ryan Ford,17.35,M,,,,,,,,,,,,,,,,
,CORDATA,Dane Vennewitz,17.93,M,,,,Ryan Ford,,,,,,,,,,,,
,CORDATA,Taylor Carpenter,20.02,F,,,https://youtube.com/shorts/lMEa5a8Vq_0,Ryan Ford,,,,,,,,,,,,
,TP,Leon van der Zouwen,9.00,M,,,,Emilia,,,,,,,,,,,,
,TP,Pedro Velus,9.77,M,,,,,,,,,,,,,,,,
,TP,Emilia Francois,17.90,F,,,,Leon van der Zouwen,,,,,,,,,,,,
,PALI,Liam Kim,11.50,M,,,https://youtube.com/shorts/Be_3lirxnAo,,,,,,,,,,,,,
,PALI,Roland Turner,11.71,M,,,https://www.instagram.com/p/DFENNEgStjU/,,,,,,,,,,,,,
,PALI,Parker Krueger,12.67,M,,,https://www.instagram.com/p/DGB4pIOSzvE/,,,,,,,,,,,,,
,PALI,Bobby Houser,12.91,M,,,,,,,,,,,,,,,,
,PALI,Matt Jang,12.92,M,,,https://youtube.com/shorts/hZR7uopJRQA,,,,,,,,,,,,,
,PALI,Andrew Cavuto,13.38,M,,,,,,,,,,,,,,,,
,PALI,Evan Wilson,14.38,M,,,,,,,,,,,,,,,,
,TÓTEM,Jean Sánchez,21.13,M,,,https://youtube.com/shorts/Ng2rGkX61iE,Ryan Ford,,,,,,,,,,,,
,TÓTEM,Nate Rolon,23.71,M,,,,Ryan Ford,,,,,,,,,,,,
,TÓTEM,Taylor Carpenter,32.33,F,,,https://youtube.com/shorts/bxZeY8EVW2U,Ryan Ford,,,,,,,,,,,,
,COLISEO,Nate Rolon,21.23,M,,,https://youtube.com/shorts/-hcdRov1uhk,Ryan Ford,,,,,,,,,,,,
,COLISEO,Taylor Carpenter,25.97,F,,,https://youtube.com/shorts/Dvg-cEmDYCw,Ryan Ford,,,,,,,,,,,,
,PARCUR,Leon van der Zouwen,9.45,M,,,https://youtube.com/shorts/U1hagnps8sk,Ryan Ford,,,,,,,,,,,,
,PARCUR,Bollo Talavera,9.82,M,,,,Ryan Ford,,,,,,,,,,,,
,PARCUR,Carlos Robledo Cardenas,10.58,M,,,,Ryan Ford,,,,,,,,,,,,
,PARCUR,Jair Guerra,10.69,M,,,,Ryan Ford,,,,,,,,,,,,
,PARCUR,Christian Greene,16.16,M,,,,Ryan Ford,,,,,,,,,,,,
,PARCUR,Taylor Carpenter,15.10,F,,,https://youtube.com/shorts/XedAutRpQ_o,Ryan Ford,,,,,,,,,,,,
,PARCUR,Lily Carbajal,30.45,F,,,,Ryan Ford,,,,,,,,,,,,
,PARCUR,Emilia Francois,33.67,F,,,,Ryan Ford,,,,,,,,,,,,
,ATLANTIS,Andrés Fierro,7.95,M,,,https://youtube.com/shorts/i1-eu_9672w,Ryan Ford,,,,,,,,,,,,
,ATLANTIS,Andrés Gutzen,10.08,M,,,,Ryan Ford,,,,,,,,,,,,
,ATLANTIS,Ryan Ford,10.67,M,,,,Taylor Carpenter,,,,,,,,,,,,
,ATLANTIS,Christian Greene,15.80,M,,,,Ryan Ford,,,,,,,,,,,,
,ATLANTIS,Taylor Carpenter,11.45,F,,,https://youtube.com/shorts/OF0mAtMVXfU,Ryan Ford,,,,,,,,,,,,
,UH1,Michael Guerrero,8.15,M,,,,,,,,,,,,,,,,
,UH1,Liam Kim,8.54,M,,,https://youtube.com/shorts/eDBW15WT7Lg,Ryan Ford,,,,,,,,,,,,
,UH1,Bobby Houser,8.64,M,,,,,,,,,,,,,,,,
,UH1,Andrew Cavuto,9.95,M,,,,Ryan Ford,,,,,,,,,,,,
,UH1,Parker Krueger,10.31,M,,,https://www.instagram.com/p/DPADEYRkqex/,Ryan Ford,,,,,,,,,,,,
,UH1,Matt Jang,10.78,M,,,,Ryan Ford,,,,,,,,,,,,
,UH1,Evan Wilson,11.44,M,,,,,,,,,,,,,,,,
,UH1,Ryan Ford,15.54,M,,,,Taylor Carpenter,,,,,,,,,,,,
,UH1,Ilja Kocken,16.19,M,,,,,,,,,,,,,,,,
,UH1,Taylor Carpenter,13.33,F,,,https://youtube.com/shorts/xvZjVaPLUZA,Ryan Ford,,,,,,,,,,,,
,PCHS,Elias Fonseca,10.55,M,,,https://youtube.com/shorts/icurXwXEIIM,,,,,,,,,,,,,
,PCHS,Liam Kim,11.47,M,,,,,,,,,,,,,,,,
,PCHS,Bobby Houser,13.09,M,,,,,,,,,,,,,,,,
,PCHS,Parker Krueger,14.41,M,,,https://www.instagram.com/p/DOuK7vokrAZ/,,,,,,,,,,,,,
,PCHS,Evan Wilson,15.65,M,,,,,,,,,,,,,,,,
,PCRC,Bobby Houser,10.98,M,,,,,,,,,,,,,,,,
,PCRC,Roland Turner,11.16,M,,,,,,,,,,,,,,,,
,PCRC,Evan Wilson,12.17,M,,,,,,,,,,,,,,,,
,PCRC,Parker Krueger,12.78,M,,,https://www.instagram.com/p/DPPHpRKEoi9/,,,,,,,,,,,,,
,UH3,Michael Guerrero,9.46,M,,,,,,,,,,,,,,,,
,UH3,Alana Hart,19.75,F,,,,,,,,,,,,,,,,
,JEFFERSON,Jupiter Ceilidh,9.42,M,,,,,,,,,,,,,,,,
,JEFFERSON,Matt Waite,13.84,M,,,,,,,,,,,,,,,,
,IRVING,Benati Louvouezo,10.69,M,,,,,,,,,,,,,,,,
,IRVING,Jason Budd,11.04,M,,,,,,,,,,,,,,,,
,IRVING,Teague Harvey,13.50,M,,,,,,,,,,,,,,,,
,IRVING,Matt Waite,15.69,M,,,,,,,,,,,,,,,,
,LVCH,Joey Jepsen,10.37,M,,,https://youtube.com/shorts/Zp5tAyGDf7Y,Ryan Ford,,,,,,,,,,,,
,TOWNSHIP 9,Joe Unruh,14.58,M,,,https://youtube.com/shorts/Gw6UaF2FvcI,,,,,,,,,,,,,
,CPRC 2,Amy Jepsen,37.86,F,,,,Ryan Ford,,,,,,,,,,,,
,VILLARROEL,Mato Demoth,13.37,M,,,,,,,,,,,,,,,,
,LINEAL,Nate Rolon,19.11,M,,,,Ryan Ford,,,,,,,,,,,,
,VÓRTICE,Jean Sánchez,18.46,M,,,,Ryan Ford,,,,,,,,,,,,
,BAUTISTA,Jean Sánchez,12.89,M,,,,Ryan Ford,,,,,,,,,,,,
,LOS CABOS,Olof Wood,15.15,M,,,,,,,,,,,,,,,,
,FREEWAY 3,Scott Bringe,16.92,M,,,https://youtube.com/shorts/EkHWjdlpyZE,Ryan Ford,,,,,,,,,,,,
,SHERWOOD,Taylor Carpenter,13.24,F,,,,Ryan Ford,,,,,,,,,,,,
,PROGRESS,Taylor Carpenter,10.67,F,,,https://youtube.com/shorts/Bd_8j2JJvbg,Ryan Ford,,,,,,,,,,,,
,CSN,Joey Jepsen,15.90,M,,,https://youtube.com/shorts/QMf78AzrDmI,Ryan Ford,,,,,,,,,,,,
,NSU,Joey Jepsen,9.79,M,,,https://youtube.com/shorts/v7IAh_QM83s,Ryan Ford,,,,,,,,,,,,
,HCH,Joey Jepsen,8.05,M,,,https://youtube.com/shorts/QfpmETL8sZM,Ryan Ford,,,,,,,,,,,,
,COTTONWOOD 2,Olof Wood,18.59,M,,,,,,,,,,,,,,,,
,UMKC,Elijah van der Vyver,?,M,,,,,,,,,,,,,,,,
,UMKC,Joel Hendricks,?,M,,,,,,,,,,,,,,,,
,UMKC,Greg Zamora,?,M,,,,,,,,,,,,,,,,
,UU3,Benati Louvouezo,8.15,M,,,,,,,,,,,,,,,,
,GAS WORKS 1,Alex Shackleton,11.55,M,,,https://youtube.com/shorts/L8A8FSy2yj8,Ryan Ford,,,,,,,,,,,,
,GAS WORKS 1,Ryan Ford,15.42,M,,,,Taylor Carpenter,,,,,,,,,,,,
,GAS WORKS 1,Nicholas Van Swol,16.08,M,,,,Ryan Ford,,,,,,,,,,,,
,GAS WORKS 1,Di Li,39.77,M,,,,Ryan Ford,,,,,,,,,,,,
,GREEN LAKE,Alex Shackleton,10.93,M,,,https://youtube.com/shorts/nI0DNrSGAs4,Ryan Ford,,,,,,,,,,,,
,GREEN LAKE,Ryan Ford,15.55,M,,,,Taylor Carpenter,,,,,,,,,,,,
,SFU,Joey Jepsen,9.55,M,,,https://youtube.com/shorts/xmRqnEsvPD0,Ryan Ford,,,,,,,,,,,,
,LAM,Benati Louvouezo,15.87,M,,,https://youtube.com/shorts/2_Oq5wK-Z88,Ryan Ford,,,,,,,,,,,,
,LAM,Di Li,40.36,M,,,,Ryan Ford,,,,,,,,,,,,
,AUCOIN,Benati Louvouezo,16.96,M,,,https://youtube.com/shorts/eSmkucIz1fM,Ryan Ford,,,,,,,,,,,,
,AUCOIN,Saben Schulfer,17.88,M,,,,Ryan Ford,,,,,,,,,,,,
,AUCOIN,Ryan Ford,24.50,M,,,https://www.instagram.com/p/DPhbgUOkXQQ/,Saben Schulfer,,,,,,,,,,,,
,AUCOIN,Taylor Carpenter,21.54,F,,,https://youtube.com/shorts/gr8ZTgffhO0,Ryan Ford,,,,,,,,,,,,
,LOHS,Jupiter Ceilidh,8.31,M,,,,,,,,,,,,,,,,
,LUTHER BURBANK,Scott Bringe,13.26,M,,,https://youtube.com/shorts/KmdOXNOMBkw,Ryan Ford,,,,,,,,,,,,
,LUTHER BURBANK,Nicholas Van Swol,25.90,M,,,,Ryan Ford,,,,,,,,,,,,
,LUTHER BURBANK,Jane Bellousov,19.61,F,,,,Ryan Ford,,,,,,,,,,,,
,LABYRINTH,Pedro Velus,13.48,M,,,https://youtube.com/shorts/2MlYBfKZEXY,Ryan Ford,,,,,,,,,,,,
,LABYRINTH,Martim Almeida,18.30,M,,,,Ryan Ford,,,,,,,,,,,,
,LABYRINTH,Dean Philp,18.90,M,,,https://www.instagram.com/p/DKsWyKLMenX/,Ryan Ford,,,,,,,,,,,,
,PAINTED STAIRS,Kaden Lebsack,13.76,M,,,,,,,,,,,,,,,,
,PAINTED STAIRS,Max Feinberg,15.31,M,,,,,,,,,,,,,,,,
,PAINTED STAIRS,Cosmo Palmer,17.96,M,,,,,,,,,,,,,,,,
,HORTA 1,Emilia Francois,39.86,F,,,,Leon van der Zouwen,,,,,,,,,,,,
,UH2,Roland Turner,8.20,M,,,,,,,,,,,,,,,,
,JACKSONVILLE,Max Calderon,13.80,M,,,,,,,,,,,,,,,,
,JACKSONVILLE,Anthony Walker,14.45,M,,,,,,,,,,,,,,,,
,JACKSONVILLE,Santi Silva,14.53,M,,,,,,,,,,,,,,,,
,JACKSONVILLE,Liam Ussery,17.75,M,,,,,,,,,,,,,,,,
,OLDE TOWN,Joey Jepsen,11.11,M,,,https://youtube.com/shorts/iloKef3zqj8,Ryan Ford,,,,,,,,,,,,
,CUSCATLÁN 2,Leon van der Zouwen,14.81,M,,,,,,,,,,,,,,,,
,CUSCATLÁN 3,Leon van der Zouwen,15.14,M,,,,,,,,,,,,,,,,
,CUSCATLÁN 3,Eric Summers,20.42,M,,,,,,,,,,,,,,,,
,UNAM 2,Arturo Camarena Torres,9.06,M,,,,,,,,,,,,,,,,
,UNAM 2,Temich,9.55,M,,,,Ryan Ford,,,,,,,,,,,,
,UNAM 2,Adrian Flores,9.80,M,,,,Ryan Ford,,,,,,,,,,,,
,UNAM 2,Mauricio Larrauri,9.84,M,,,,Ryan Ford,,,,,,,,,,,,
,UNAM 2,Andrés Gutzen,10.06,M,,,,Ryan Ford,,,,,,,,,,,,
,UNAM 1,Temich,15.43,M,,,,Ryan Ford,,,,,,,,,,,,
,UNAM 1,Andrés Gutzen,15.87,M,,,,Ryan Ford,,,,,,,,,,,,
,UNAM 1,Mauricio Alvarez Medina,16.83,M,,,,Ryan Ford,,,,,,,,,,,,
,UNAM 1,Adrian Flores,17.49,M,,,,Ryan Ford,,,,,,,,,,,,
,UNAM 1,Christian Greene,21.87,M,,,,Ryan Ford,,,,,,,,,,,,
,UNAM 1,Luciana San Martín,25.30,F,,,,Ryan Ford,,,,,,,,,,,,
,CRI CRI,Andrés Fierro,11.25,M,,,https://youtube.com/shorts/S8mPXuHz2zQ,Ryan Ford,,,,,,,,,,,,
,CRI CRI,Fabian Castany,14.65,M,,,,Ryan Ford,,,,,,,,,,,,
,CRI CRI,Ryan Ford,19.59,M,,,,Taylor Carpenter,,,,,,,,,,,,
,CRI CRI,Ella Bucio,17.18,F,,,https://youtube.com/shorts/QxLmo_vz2Gw,Ryan Ford,,,,,,,,,,,,
,CRI CRI,Emilia Francois,38.64,F,,,,Leon van der Zouwen,,,,,,,,,,,,
,PRADOS,Andrés Fierro,13.67,M,,,https://youtube.com/shorts/Di1fXgSQxx4,Ryan Ford,,,,,,,,,,,,
,PRADOS,Jair Guerra,16.17,M,,,,Ryan Ford,,,,,,,,,,,,
,PRADOS,Ryan Ford,24.81,M,,,,Taylor Carpenter,,,,,,,,,,,,
,BOHEMIO,Ryan Ford,20.35,M,,,https://youtube.com/shorts/E6RWUTezUvI,Taylor Carpenter,,,,,,,,,,,,
,BOHEMIO,Manuel Flores Ochoa,21.85,M,,,,Ryan Ford,,,,,,,,,,,,
,BOHEMIO,Ramsés Toledo,22.09,M,,,,Ryan Ford,,,,,,,,,,,,
,BOHEMIO,Taylor Carpenter,20.72,F,,,,Ryan Ford,,,,,,,,,,,,
,BOHEMIO,Sofía Labarte,38.73,F,,,,Ryan Ford,,,,,,,,,,,,
,FOLK,Ramsés Toledo,24.02,M,,,,Ryan Ford,,,,,,,,,,,,
,FOLK,Ryan Ford,25.55,M,,,,Taylor Carpenter,,,,,,,,,,,,
,FOLK,Manuel Flores Ochoa,26.66,M,,,,Ryan Ford,,,,,,,,,,,,
,FOLK,Karim,86.80,M,,,,Ryan Ford,,,,,,,,,,,,
,KAPI'OLANI,Liam Kim,9.33,M,,,https://youtube.com/shorts/FRG063nf1Zw,Ryan Ford,,,,,,,,,,,,
,KAPI'OLANI,Elias Fonseca,9.34,M,,,,,,,,,,,,,,,,
,KAPI'OLANI,Roland Turner,9.37,M,,,,Ryan Ford,,,,,,,,,,,,
,KAPI'OLANI,Parker Krueger,10.50,M,,,https://www.instagram.com/p/DPw3tsPEYZY/,Ryan Ford,,,,,,,,,,,,
,KAPI'OLANI,Bobby Houser,10.75,M,,,,,,,,,,,,,,,,
,KAPI'OLANI,Evan Wilson,12.95,M,,,,,,,,,,,,,,,,
,KAPI'OLANI,Ryan Matsumoto,29.30,M,,,,Ryan Ford,,,,,,,,,,,,
,KAPI'OLANI,Alana Hart,19.88,F,,,,Ryan Ford,,,,,,,,,,,,
,WALLACE 2,Max Calderon,23.84,M,,,https://youtube.com/shorts/27zlLzOCAaU,,,,,,,,,,,,,
,WALLACE 2,Anthony Walker,29.99,M,,,,,,,,,,,,,,,,
,WALLACE 2,Wyatt Marvil,43.20,M,,,,,,,,,,,,,,,,
,WALLACE 2,Sriniketh Chakilam,75.43,M,,,,,,,,,,,,,,,,
,GDAŃSK,Paweł Furmański,14.81,M,,,https://youtube.com/shorts/4RiVp1sWYlU,,,,,,,,,,,,,
,GDAŃSK,Bartosz Chajnow,16.19,M,,,,,,,,,,,,,,,,
,GDAŃSK,Erik Modzolewski,16.40,M,,,,,,,,,,,,,,,,
,GDAŃSK,Krzysztof Skoczylas,16.51,M,,,,,,,,,,,,,,,,
,KĀNEWAI,Roland Turner,14.60,M,,,,,,,,,,,,,,,,
,KĀNEWAI,Andrew Cavuto,14.88,M,,,https://youtube.com/shorts/R4ih4GLn2M0,,,,,,,,,,,,,
,KĀNEWAI,Matt Jang,16.22,M,,,,,,,,,,,,,,,,
,KĀNEWAI,Bobby Houser,18.11,M,,,,,,,,,,,,,,,,
,KĀNEWAI,Parker Krueger,19.53,M,,,,,,,,,,,,,,,,
,KĀNEWAI,Evan Wilson,19.58,M,,,,,,,,,,,,,,,,
,KAKA'AKO,Bobby Houser,12.27,M,,,,,,,,,,,,,,,,
,KAKA'AKO,Parker Krueger,12.80,M,,,,,,,,,,,,,,,,
,KAKA'AKO,Evan Wilson,13.76,M,,,,,,,,,,,,,,,,
